space,date,demand
1244,2013-12-16,1109.83884837963
1244,2013-12-17,1106.65196547937
1244,2013-12-18,1100.92093113652
1244,2013-12-19,1159.70728146432
1244,2013-12-20,1155.0286461695
1244,2013-12-21,931.158866056233
1244,2013-12-22,868.359822313517
1244,2013-12-23,1050.71124912478
1244,2013-12-24,1105.80702739198
1244,2013-12-25,906.5960632716
1244,2013-12-26,900.945798225317
1244,2013-12-27,1089.48399112653
1244,2013-12-28,950.250356481483
1244,2013-12-29,886.83036574075
1244,2013-12-30,1072.67207986112
3259,2013-01-01,5.01988208913333
3259,2013-01-02,5.18625217015
3259,2013-01-03,5.0462962963
3259,2013-01-04,5.96641810868333
3259,2013-01-05,7.08282558545
3259,2013-01-06,5.13945045638333
3259,2013-01-07,4.93311171233333
3259,2013-01-08,5.06175895198333
3259,2013-01-09,5.020435227
3259,2013-01-10,4.5530429966
3259,2013-01-11,7.19169433533333
3259,2013-01-12,6.23053080325
3259,2013-01-13,5.70998108646667
3259,2013-01-14,4.36017203281667
3259,2013-01-15,4.72459490741667
3259,2013-01-16,4.7735317727
3259,2013-01-17,5.36732974096667
3259,2013-01-18,6.5089478545
3259,2013-01-19,6.06119679155
3259,2013-01-20,5.34979779321667
3259,2013-01-21,4.5803655009
3259,2013-01-22,4.24565277616667
3259,2013-01-23,4.79984198443333
3259,2013-01-24,5.20754090165
3259,2013-01-25,5.25841180163333
3259,2013-01-26,6.29610993408333
3259,2013-01-27,5.17772749695
3259,2013-01-28,4.54713596513333
3259,2013-01-29,4.64253218455
3259,2013-01-30,4.89503821578333
3259,2013-01-31,4.94284722223333
3259,2013-02-01,5.2461656746
3259,2013-02-02,7.15052175193333
3259,2013-02-03,5.3433346549
3259,2013-02-04,4.59940114908333
3259,2013-02-05,4.74997763891667
3259,2013-02-06,5.24821274145
3259,2013-02-07,4.94331435005
3259,2013-02-08,6.25401086183333
3259,2013-02-09,5.56801821983333
3259,2013-02-10,4.84895444633333
3259,2013-02-11,4.62437277801667
3259,2013-02-12,4.66444159286667
3259,2013-02-13,4.50626598378333
3259,2013-02-14,5.13108879436667
3259,2013-02-15,5.96676540251667
3259,2013-02-16,6.21948654636667
3259,2013-02-17,6.17702984708333
3259,2013-02-18,5.24719601678333
3259,2013-02-19,5.51876173785
3259,2013-02-20,4.79362403548333
3259,2013-02-21,5.8324414327
3259,2013-02-22,8.09096288828333
3259,2013-02-23,6.0036589857
3259,2013-02-24,5.27898457018333
3259,2013-02-25,4.71411570341667
3259,2013-02-26,4.590279321
3259,2013-02-27,4.65519730316667
3259,2013-02-28,5.71048402398333
3259,2013-03-01,6.47657917453333
3259,2013-03-02,6.08955390771667
3259,2013-03-03,6.41961055201667
3259,2013-03-04,4.90119924083333
3259,2013-03-05,5.35479004896667
